Player,Nation,Pos,Age,Team,League,Min,90s,Gls,Ast,per_90_Gls,per_90_Ast,SoT,Crs,TklW,Int,CrdY,CrdR,Saves,CS,GA,Lig_Puani,Takim_Puani,Lig_Max_90s,oynanabilirlik_skoru
Keven Schlotterbeck,GER,DF,28.0,Augsburg,GER-Bundesliga,2031,22.57,0,1,0.0,0.04,3,6,25,33,7,1,0.0,0.0,0.0,90,40,34.0,35.97
Kevin,BRA,MF,22.0,Fulham,ENG-Premier League,1041,11.57,1,1,0.09,0.09,10,43,10,9,1,0,0.0,0.0,0.0,100,40,38.0,31.65
Kevin Akpoguma,NGA,DF,30.0,Hoffenheim,GER-Bundesliga,61,0.68,0,0,0.0,0.0,0,0,1,1,0,1,0.0,0.0,0.0,90,40,34.0,28.24
Kevin Carlos,ESP,FW,24.0,Nice,FRA-Ligue 1,880,9.78,0,0,0.0,0.0,7,3,1,1,3,0,0.0,0.0,0.0,85,40,34.0,31.45
Kevin Csoboth,HUN,FW,25.0,Gençlerbirliği,TUR-Super Lig,50,0.56,0,0,0.0,0.0,1,3,0,0,0,0,0.0,0.0,0.0,90,40,34.0,28.2
Kevin Danso,AUT,DF,26.0,Tottenham,ENG-Premier League,1494,16.6,0,0,0.0,0.0,2,7,13,25,8,0,0.0,0.0,0.0,100,80,38.0,66.48
Kevin De Bruyne,BEL,MF,34.0,Napoli,ITA-Serie A,1165,12.94,5,2,0.39,0.15,11,58,8,5,1,0,0.0,0.0,0.0,90,90,48.28,70.24
Kevin Diks,IDN,DF,28.0,Gladbach,GER-Bundesliga,2464,27.38,5,0,0.18,0.0,13,5,30,24,6,0,0.0,0.0,0.0,90,40,34.0,37.66
Kevin Kampl,SVN,MF,34.0,RB Leipzig,GER-Bundesliga,3,0.03,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,90,90,34.0,63.02
Kevin Paredes,USA,MF,22.0,Wolfsburg,GER-Bundesliga,164,1.82,0,0,0.0,0.0,1,7,3,2,1,0,0.0,0.0,0.0,90,40,34.0,28.64
Kevin Schade,GER,"MF,FW",23.0,Brentford,ENG-Premier League,2745,30.5,8,3,0.26,0.1,24,23,27,19,6,1,0.0,0.0,0.0,100,40,38.0,37.63
Kevin Stöger,AUT,MF,31.0,Gladbach,GER-Bundesliga,1324,14.71,1,1,0.07,0.07,7,61,20,13,3,0,0.0,0.0,0.0,90,40,34.0,33.19
Kevin Trapp,GER,GK,35.0,Paris FC,FRA-Ligue 1,1980,22.0,0,0,0.0,0.0,0,0,0,1,2,0,56.0,7.0,29.0,85,40,34.0,35.76
Khalis Merah,FRA,"MF,FW",18.0,Lyon,FRA-Ligue 1,1130,12.56,0,1,0.0,0.08,3,13,19,6,2,0,0.0,0.0,0.0,85,70,34.0,56.76
Khvicha Kvaratskhelia,GEO,FW,24.0,PSG,FRA-Ligue 1,1479,16.43,8,4,0.49,0.24,29,43,13,10,1,0,0.0,0.0,0.0,85,100,34.0,84.5
Khéphren Thuram,FRA,MF,24.0,Juventus,ITA-Serie A,2442,27.13,3,3,0.11,0.11,15,16,32,12,2,0,0.0,0.0,0.0,90,85,48.28,73.83
Ki-Jana Hoever,NED,"MF,DF",23.0,Wolves,ENG-Premier League,425,4.72,0,0,0.0,0.0,1,22,11,5,0,0,0.0,0.0,0.0,100,40,38.0,29.49
Kialonda,ANG,DF,27.0,Lecce,ITA-Serie A,1830,20.33,0,0,0.0,0.0,1,1,9,19,6,1,0.0,0.0,0.0,90,40,48.28,33.05
Kieran Trippier,ENG,DF,34.0,Newcastle,ENG-Premier League,1586,17.62,0,1,0.0,0.06,0,96,13,7,3,0,0.0,0.0,0.0,100,75,38.0,62.93
Kiernan Dewsbury-Hall,ENG,MF,26.0,Everton,ENG-Premier League,2626,29.18,8,4,0.27,0.14,15,112,26,14,6,0,0.0,0.0,0.0,100,40,38.0,37.21
Kieron Bowie,SCO,FW,22.0,Hellas Verona,ITA-Serie A,1200,13.33,4,0,0.3,0.0,11,6,3,0,1,0,0.0,0.0,0.0,90,40,48.28,31.31
Kike Barja,ESP,MF,28.0,Osasuna,ESP-La Liga,446,4.96,2,2,0.4,0.4,4,66,2,3,3,0,0.0,0.0,0.0,95,40,38.0,29.57
Kike Salas,ESP,DF,23.0,Sevilla,ESP-La Liga,2203,24.48,2,0,0.08,0.0,8,10,35,37,1,0,0.0,0.0,0.0,95,40,38.0,35.73
Kiko Femenía,ESP,"DF,MF",34.0,Getafe,ESP-La Liga,2008,22.31,1,1,0.04,0.04,3,43,24,36,6,0,0.0,0.0,0.0,95,40,38.0,35.05
Kiké,ESP,FW,35.0,Espanyol,ESP-La Liga,1734,19.27,8,1,0.42,0.05,27,17,8,4,3,0,0.0,0.0,0.0,95,40,38.0,34.09
Kilian Fischer,GER,DF,24.0,Wolfsburg,GER-Bundesliga,800,8.89,0,0,0.0,0.0,0,16,13,12,0,0,0.0,0.0,0.0,90,40,34.0,31.14
