player,nation,pos,team,age,league,playing time_min,performance_gls,performance_ast,performance_crdy,performance_crdr,performance_tklw,performance_int,performance_crs,standard_sot,performance_saves,performance_ga,performance_cs
Max Moerstedt,de GER,FW,Hoffenheim,19,GER-Bundesliga,420,2,0,2,0,3,0,4,4,,,
Wael Mohya,de GER,"MF,FW",Gladbach,16,GER-Bundesliga,552,2,1,1,0,7,2,8,5,,,
Fabio Moreno Fell,de GER,FW,Mainz 05,25,GER-Bundesliga,77,0,0,0,0,0,0,0,0,,,
Miro Muheim,ch SUI,"MF,DF",Hamburger SV,27,GER-Bundesliga,2435,0,4,7,1,35,27,148,7,,,
Salim Musah,de GER,FW,Werder Bremen,19,GER-Bundesliga,198,1,0,0,0,1,2,1,4,,,
Jamal Musiala,de GER,"MF,FW",Bayern Munich,22,GER-Bundesliga,683,3,4,1,0,5,3,4,9,,,
Phillipp Mwene,at AUT,MF,Mainz 05,31,GER-Bundesliga,2069,1,2,4,0,20,14,75,2,,,
Joakim Mæhle,dk DEN,"MF,DF",Wolfsburg,28,GER-Bundesliga,1222,1,2,1,0,22,20,21,3,,,
Stanley N'Soki,fr FRA,"DF,MF",Union Berlin,26,GER-Bundesliga,816,1,2,2,0,9,18,12,1,,,
Shafiq Nandja,de GER,DF,Hamburger SV,18,GER-Bundesliga,15,0,0,0,0,0,0,0,0,,,
Nikolas Nartey,dk DEN,MF,Stuttgart,25,GER-Bundesliga,1256,4,3,2,0,12,10,14,12,,,
Paul Nebel,de GER,MF,Mainz 05,22,GER-Bundesliga,2073,5,2,2,2,30,12,129,8,,,
Kosta Nedeljković,rs SRB,DF,RB Leipzig,19,GER-Bundesliga,251,0,0,0,0,1,1,6,0,,,
Luca Netz,de GER,"MF,DF",Gladbach,22,GER-Bundesliga,940,0,2,1,0,10,7,26,0,,,
Manuel Neuer,de GER,GK,Bayern Munich,39,GER-Bundesliga,1859,0,0,0,0,0,0,0,0,31,20,7
Florian Neuhaus,de GER,"MF,FW",Gladbach,28,GER-Bundesliga,930,0,1,0,0,7,9,9,6,,,
Cenny Neumann,de GER,DF,Köln,18,GER-Bundesliga,74,0,0,0,0,1,1,0,0,,,
Jessic Ngankam,de GER,FW,Frankfurt,25,GER-Bundesliga,62,0,0,0,0,0,0,0,0,,,
Youssoupha Niang,de GER,MF,Köln,19,GER-Bundesliga,194,0,0,0,0,1,0,2,1,,,
Moritz Nicolas,de GER,GK,Gladbach,27,GER-Bundesliga,3060,0,0,1,0,1,0,0,0,136,53,13
Julian Niehues,de GER,MF,Heidenheim,24,GER-Bundesliga,1383,3,0,1,0,10,23,3,5,,,
Justin Njinmah,de GER,"FW,MF",Werder Bremen,24,GER-Bundesliga,1947,5,0,2,0,14,6,34,23,,,
Felix Nmecha,de GER,MF,Dortmund,24,GER-Bundesliga,2176,2,3,0,0,23,25,7,7,,,
Arnaud Nordin,fr FRA,"MF,FW",Mainz 05,27,GER-Bundesliga,469,0,0,0,0,6,3,15,2,,,
Alexander Nübel,de GER,GK,Stuttgart,28,GER-Bundesliga,3060,0,1,0,0,0,1,0,0,107,49,11
Antonio Nusa,no NOR,"FW,MF",RB Leipzig,20,GER-Bundesliga,2027,4,3,0,0,14,7,68,20,,,
Tim Oermann,de GER,DF,Leverkusen,21,GER-Bundesliga,18,0,0,0,0,1,0,0,0,,,
Deniz Ofli,tr TUR,DF,Bayern Munich,18,GER-Bundesliga,6,0,0,0,0,0,0,0,0,,,
Ifechukwu Ogbus,ch SUI,DF,Freiburg,19,GER-Bundesliga,1177,0,0,1,0,16,13,3,2,,,
Uchenna Ogundu,ng NGA,FW,Augsburg,19,GER-Bundesliga,47,0,0,0,0,0,0,1,0,,,
Michael Olise,fr FRA,MF,Bayern Munich,23,GER-Bundesliga,2316,15,19,8,0,11,14,146,50,,,
Warmed Omari,km COM,DF,Hamburger SV,25,GER-Bundesliga,1605,0,1,0,0,19,28,4,1,,,
Loïs Openda,be BEL,FW,RB Leipzig,25,GER-Bundesliga,51,0,0,0,0,0,0,1,0,,,
Louis Oppie,de GER,MF,St Pauli,23,GER-Bundesliga,1620,1,0,0,0,19,11,58,4,,,
Willi Orban,hu HUN,DF,RB Leipzig,32,GER-Bundesliga,2949,2,0,4,0,33,45,8,9,,,
Erblin Osmani,de GER,MF,Bayern Munich,16,GER-Bundesliga,4,0,0,0,0,0,1,0,0,,,
Patrick Osterhage,de GER,MF,Freiburg,25,GER-Bundesliga,1189,1,0,4,0,7,15,9,2,,,
Philip Otele,ng NGA,"MF,FW",Hamburger SV,26,GER-Bundesliga,471,1,1,3,1,2,3,12,3,,,
