Player,Nation,Pos,Age,Team,League,Min,90s,Gls,Ast,per_90_Gls,per_90_Ast,SoT,Crs,TklW,Int,CrdY,CrdR,Saves,CS,GA,Lig_Puani,Takim_Puani,Lig_Max_90s,oynanabilirlik_skoru,Zorluk_Seviyesi
Julien Le Cardinal,FRA,DF,27.0,Brest,FRA-Ligue 1,328,3.64,1,0,0.27,0.0,2,0,5,3,1,0,0.0,0.0,0.0,85,40,34.0,29.28,Zor
Julien López,ALG,"FW,MF",33.0,Paris FC,FRA-Ligue 1,45,0.5,0,0,0.0,0.0,0,1,0,1,0,0,0.0,0.0,0.0,85,40,34.0,28.18,Zor
Julio Diaz,ESP,DF,20.0,Atlético Madrid,ESP-La Liga,310,3.44,0,1,0.0,0.29,0,6,3,4,2,0,0.0,0.0,0.0,95,92,38.0,66.9,Zor
Julio Enciso,PAR,"MF,FW",21.0,Strasbourg,FRA-Ligue 1,1883,20.92,3,6,0.14,0.29,22,61,10,7,2,0,0.0,0.0,0.0,85,40,34.0,35.38,Zor
Julio Soler,ARG,DF,20.0,Bournemouth,ENG-Premier League,35,0.39,0,0,0.0,0.0,0,2,0,0,0,0,0.0,0.0,0.0,100,70,38.0,49.22,Zor
Julián Cuesta,ESP,GK,34.0,Antalyaspor,TUR-Super Lig,1800,20.0,0,0,0.0,0.0,0,0,1,0,4,0,79.0,3.0,34.0,90,40,34.0,35.06,Zor
Julián Malatini,ARG,DF,24.0,Werder Bremen,GER-Bundesliga,516,5.73,0,0,0.0,0.0,0,5,6,6,3,0,0.0,0.0,0.0,90,40,34.0,30.02,Zor
Julián Vignolo,ARG,MF,18.0,Toulouse,FRA-Ligue 1,195,2.17,2,0,0.92,0.0,7,10,3,0,0,0,0.0,0.0,0.0,85,40,34.0,28.77,Zor
Julián Álvarez,ARG,FW,25.0,Atlético Madrid,ESP-La Liga,1895,21.06,8,4,0.38,0.19,26,86,13,3,2,0,0.0,0.0,0.0,95,92,38.0,79.7,Orta
Jun'ai Byfield,ENG,DF,16.0,Tottenham,ENG-Premier League,1,0.01,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,100,80,38.0,56.01,Zor
Juninho Bacuna,CUW,MF,27.0,Gaziantep,TUR-Super Lig,219,2.43,0,0,0.0,0.0,2,9,5,4,1,0,0.0,0.0,0.0,90,40,34.0,28.86,Zor
Junior Adamu,AUT,FW,24.0,Freiburg,GER-Bundesliga,446,4.96,1,1,0.2,0.2,3,2,6,5,1,0,0.0,0.0,0.0,90,40,34.0,29.75,Zor
Junior Ajayi,CIV,FW,20.0,Hellas Verona,ITA-Serie A,1,0.01,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,90,40,48.28,28.0,Zor
Junior Diaz,CIV,DF,22.0,Brest,FRA-Ligue 1,1562,17.36,0,0,0.0,0.0,1,1,18,25,4,0,0.0,0.0,0.0,85,40,34.0,34.13,Zor
Junior Dina Ebimbe,CMR,MF,24.0,Brest,FRA-Ligue 1,1165,12.94,5,0,0.39,0.0,9,4,16,6,3,0,0.0,0.0,0.0,85,40,34.0,32.57,Zor
Junior Firpo,DOM,DF,28.0,Real Betis,ESP-La Liga,827,9.19,0,1,0.0,0.11,0,19,14,10,2,0,0.0,0.0,0.0,95,40,38.0,30.9,Zor
Junior Messias,BRA,MF,34.0,Genoa,ITA-Serie A,685,7.61,3,1,0.39,0.13,7,16,10,5,1,0,0.0,0.0,0.0,90,40,48.28,29.89,Zor
