Player,Nation,Pos,Age,Team,League,Min,90s,Gls,Ast,per_90_Gls,per_90_Ast,SoT,Crs,TklW,Int,CrdY,CrdR,Saves,CS,GA,Lig_Puani,Takim_Puani,Lig_Max_90s,oynanabilirlik_skoru,Zorluk_Seviyesi
Abdelhamid Ait Boudlal,MAR,DF,19.0,Rennes,FRA-Ligue 1,1403,15.59,2,1,0.13,0.06,4,2,11,18,3,1,0.0,0.0,0.0,85,40,34.0,33.5,Zor
Abdoul Coulibaly,GER,DF,18.0,Werder Bremen,GER-Bundesliga,2120,23.56,1,0,0.04,0.0,1,13,14,24,5,1,0.0,0.0,0.0,90,40,34.0,36.32,Zor
Abdoul Ouattara,FRA,"MF,DF",19.0,Strasbourg,FRA-Ligue 1,1768,19.64,2,0,0.1,0.0,11,19,13,20,2,0,0.0,0.0,0.0,85,40,34.0,34.93,Zor
Abdoulaye Faye,SEN,DF,20.0,Lorient,FRA-Ligue 1,1444,16.04,0,0,0.0,0.0,2,4,24,28,8,0,0.0,0.0,0.0,85,40,34.0,33.66,Zor
Abdukodir Khusanov,UZB,DF,21.0,Manchester City,ENG-Premier League,1432,15.91,0,0,0.0,0.0,1,3,20,29,2,0,0.0,0.0,0.0,100,100,38.0,82.56,Orta
Abdulai Juma Bah,SLE,DF,19.0,Nice,FRA-Ligue 1,1958,21.76,0,0,0.0,0.0,2,0,18,30,7,0,0.0,0.0,0.0,85,40,34.0,35.68,Zor
Abdullah Yiğiter,TUR,GK,25.0,Antalyaspor,TUR-Super Lig,1260,14.0,0,0,0.0,0.0,0,0,0,0,3,0,37.0,6.0,21.0,90,40,34.0,32.94,Zor
Abdülkadir Ömür,TUR,MF,26.0,Antalyaspor,TUR-Super Lig,1316,14.62,0,1,0.0,0.07,10,32,22,10,2,0,0.0,0.0,0.0,90,40,34.0,33.16,Zor
Abdülkerim Bardakcı,TUR,DF,30.0,Galatasaray,TUR-Super Lig,2541,28.23,0,1,0.0,0.04,5,28,26,25,5,0,0.0,0.0,0.0,90,100,34.0,94.91,Kolay
Abel Bretones,ESP,"MF,DF",24.0,Osasuna,ESP-La Liga,1624,18.04,1,2,0.06,0.11,3,34,12,16,5,1,0.0,0.0,0.0,95,40,38.0,33.7,Zor
Abner,BRA,"DF,MF",25.0,Lyon,FRA-Ligue 1,2150,23.89,3,2,0.13,0.08,7,61,24,8,4,1,0.0,0.0,0.0,85,70,34.0,63.76,Zor
Achraf Hakimi,MAR,DF,26.0,PSG,FRA-Ligue 1,1375,15.28,2,2,0.13,0.13,9,43,13,11,3,1,0.0,0.0,0.0,85,100,34.0,83.48,Orta
Adam Armstrong,ENG,"FW,MF",28.0,Wolves,ENG-Premier League,1140,12.67,2,2,0.16,0.16,6,5,4,1,3,0,0.0,0.0,0.0,100,40,38.0,32.0,Zor
Adam Daghim,DEN,"MF,FW",19.0,Wolfsburg,GER-Bundesliga,1364,15.16,2,3,0.13,0.2,9,20,20,11,3,0,0.0,0.0,0.0,90,40,34.0,33.35,Zor
Adam Dźwigała,POL,DF,29.0,St Pauli,GER-Bundesliga,1288,14.31,1,1,0.07,0.07,2,2,27,25,5,0,0.0,0.0,0.0,90,40,34.0,33.05,Zor
Adam Karabec,CZE,"MF,FW",22.0,Lyon,FRA-Ligue 1,922,10.24,1,0,0.1,0.0,5,80,3,1,3,0,0.0,0.0,0.0,85,70,34.0,55.32,Zor
Adam Marušić,MNE,DF,32.0,Lazio,ITA-Serie A,2778,30.87,1,2,0.03,0.06,7,35,16,33,1,1,0.0,0.0,0.0,90,75,48.28,66.89,Zor
Adam Obert,SVK,"DF,MF",22.0,Cagliari,ITA-Serie A,2771,30.79,0,3,0.0,0.1,3,69,32,44,10,1,0.0,0.0,0.0,90,40,48.28,35.65,Zor
